Id,Author,Common Core,Description,Educational Use,In Language,Intended End Use Role,Interactivity Type,Is Based On Url,Learning Resource Type,Location,Time Required,Title,Typical Age Range,Use Rights Url,Created At,Updated At
210,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_026.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-04-17 23:07:53 UTC
209,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_025.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-04-17 23:09:47 UTC
208,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_024.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-04-17 23:11:50 UTC
207,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_023.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-04-17 23:13:13 UTC
206,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_022.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-04-17 23:15:24 UTC
205,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_021.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-01-20 05:48:30 UTC
204,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_020.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-01-20 05:48:30 UTC
203,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_019.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-01-20 05:48:30 UTC
202,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_018.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-01-20 05:48:30 UTC
201,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_017.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-01-20 05:48:30 UTC
200,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_016.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-01-20 05:48:30 UTC
199,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_015.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-01-20 05:48:30 UTC
198,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_014.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-01-20 05:48:30 UTC
197,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_013.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-01-20 05:48:30 UTC
196,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_012.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-01-20 05:48:30 UTC
195,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_011.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-01-20 05:48:30 UTC
194,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_010.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-01-20 05:48:30 UTC
193,http://www.math-drills.com/,1.OA.6,One-Digit Addition with Regrouping. PDF worksheet with 64 questions and answers,assignment,,,,,,https://s3.amazonaws.com/lessonOverFlow/arithmetic/add01srg64_009.pdf,,arithmetic,6-8 years,,2013-01-20 05:48:30 UTC,2013-01-20 05:48:30 UTC
